iter	Logloss
178	0.1114915932
179	0.1114220607
180	0.1113642929
181	0.1112940033
182	0.1112029964
183	0.1111671775
184	0.1111033789
185	0.1110511342
186	0.1109773874
187	0.1109226148
188	0.110880243
189	0.1108109329
190	0.1107819109
191	0.1107225356
192	0.1106426037
193	0.110588294
194	0.110538657
195	0.1104832036
196	0.1104061844
197	0.1103602719
198	0.1103055523
199	0.1102424982
200	0.110203841
201	0.1101408578
202	0.1100709907
203	0.1100063525
204	0.1099551573
205	0.1098721422
206	0.1098195064
207	0.1097761613
208	0.1097186214
209	0.1096540657
210	0.1095844865
211	0.1095337811
212	0.1094801783
213	0.1094300282
214	0.1093980755
215	0.1093494244
216	0.1093129219
217	0.1092345374
218	0.1091765382
219	0.1091089424
220	0.1090551987
221	0.109006361
222	0.1089681586
223	0.1089169285
224	0.1088770307
225	0.1088443792
226	0.1087784403
227	0.1087183428
228	0.1086780979
229	0.1086426764
230	0.108607558
231	0.1085733941
232	0.1085081513
233	0.1084618235
234	0.108405264
235	0.1083894106
236	0.1083668813
237	0.1083106564
238	0.1082399829
239	0.1081698009
240	0.1081150122
241	0.1080535091
242	0.1080101775
243	0.1079677348
244	0.1078940283
245	0.1078659213
246	0.1078239773
247	0.107769342
248	0.1077280143
249	0.1076813896
250	0.1076371438
251	0.107562395
252	0.1074987938
253	0.1074635875
254	0.1074330414
255	0.1073976234
256	0.1073321169
257	0.1072654118
258	0.107249022
259	0.1072234329
260	0.1071608211
261	0.1071136357
262	0.1070736599
263	0.1070575014
264	0.1070324964
265	0.1070036753
266	0.1069604252
267	0.1069250835
268	0.1068547132
269	0.1068014799
270	0.1067407609
271	0.1067146425
272	0.1066527062
273	0.1066082927
274	0.1065675929
275	0.1065011194
276	0.1064306916
277	0.1063971664
278	0.1063755853
279	0.1063132489
280	0.1062434643
281	0.1062042214
282	0.1061865335
283	0.1061551423
284	0.1060788721
285	0.1060329642
286	0.1059986953
287	0.1059745622
288	0.1059066982
289	0.1058737847
290	0.1058289846
291	0.1058048048
292	0.1057397127
293	0.1056669364
294	0.1056188576
295	0.1055690439
296	0.1055454221
297	0.1055063038
298	0.1054704598
299	0.1054245446
300	0.1053719537
301	0.1053286085
302	0.1052326895
303	0.1052054624
304	0.1051503992
305	0.1051105705
306	0.1050345138
307	0.1050025378
308	0.1049727587
309	0.1049332358
310	0.1049077535
311	0.1048461482
312	0.1048079566
313	0.1047756693
314	0.1047301058
315	0.1046908305
316	0.1046252056
317	0.1045903258
318	0.1045434526
319	0.1044847537
320	0.1044394898
321	0.1044013323
322	0.1043655986
323	0.1043329139
324	0.1042957018
325	0.1042425305
326	0.1042126231
327	0.10413088
328	0.1040788578
329	0.1040466961
330	0.1039947295
331	0.1039625517
332	0.1039103043
333	0.1038842891
334	0.1038747437
335	0.1038266164
336	0.1037747718
337	0.1037383913
338	0.1037127556
339	0.1036603988
340	0.1036256976
341	0.1035935206
342	0.1035302674
343	0.1035011961
344	0.1034502431
345	0.10340079
346	0.1033871873
347	0.1033609469
348	0.1033199305
349	0.1032916199
350	0.1032642869
351	0.1032408974
352	0.1032102213
353	0.103181689
354	0.1031646111
355	0.1031339546
356	0.1030808757
357	0.1030461449
358	0.1030185698
359	0.1029789016
360	0.1029246314
361	0.1028817312
362	0.1028709488
363	0.1028260015
364	0.1027928271
365	0.102766219
366	0.102740124
367	0.1027138756
368	0.1026803037
369	0.1026305986
370	0.102583772
371	0.1025563046
372	0.1025078929
373	0.1024804721
374	0.1024571391
375	0.1024245146
376	0.1024016785
377	0.1023773911
378	0.102333052
379	0.1023243669
380	0.1022739315
381	0.1022192253
382	0.1021847358
383	0.102134853
384	0.1020941461
385	0.1020788668
386	0.1020236484
387	0.1019809805
388	0.1019476033
389	0.1019122114
390	0.101885475
391	0.1018315394
392	0.1018081759
393	0.1017882203
394	0.1017453569
395	0.1017122075
396	0.1016351775
397	0.1015931017
398	0.1015517445
399	0.1015236132
400	0.1014778658
401	0.1014428694
402	0.101411585
403	0.1013856605
404	0.1013584765
405	0.1013335521
406	0.1013166761
407	0.1012896894
408	0.1012532874
409	0.1012258558
410	0.1012066286
411	0.1011714277
412	0.1011338676
413	0.1010955047
414	0.1010620441
415	0.1010385738
416	0.1010072267
417	0.100979308
418	0.1009369837
419	0.100916489
420	0.1008843954
421	0.1008602811
422	0.1008287976
423	0.1007969858
424	0.1007616396
425	0.1007156347
426	0.1007039274
427	0.1006491342
428	0.1005912731
429	0.1005540368
430	0.1005150209
431	0.1004912671
432	0.1004714703
433	0.1004260099
434	0.1004087114
435	0.1003813749
436	0.1003585729
437	0.1003118926
438	0.100290595
439	0.1002699208
440	0.1002259711
441	0.1001931896
442	0.1001584713
443	0.1001392979
444	0.1001248358
445	0.1000981658
446	0.1000701098
447	0.1000459722
448	0.100019147
449	0.0999881201
450	0.09996925169
451	0.09995427107
452	0.09992168956
453	0.09987573404
454	0.09984760097
455	0.09983832106
456	0.09981228976
457	0.0997791198
458	0.09975503957
459	0.09972861895
460	0.09970159104
461	0.09967440525
462	0.09965662585
463	0.09961670384
464	0.09958561502
465	0.09953120755
466	0.09951168699
467	0.09947786577
468	0.09944191318
469	0.09943265569
470	0.09940615435
471	0.09936937378
472	0.09933951839
473	0.0992898195
474	0.09924997015
475	0.09924989929
476	0.09924978536
477	0.09921592198
478	0.09921589956
479	0.09921585201
480	0.09921569682
481	0.09921101964
482	0.09919435796
483	0.09917238578
484	0.09914426438
485	0.09911242203
486	0.09909063554
487	0.09906666117
488	0.09904249303
489	0.09902262621
490	0.09897382796
491	0.09894408021
492	0.09891934963
493	0.09889977525
494	0.0988552532
495	0.09884934438
496	0.09884877117
497	0.09881141021
498	0.09879405512
499	0.09876433787
500	0.09873585137
501	0.0987018929
502	0.09869164687
503	0.098672495
504	0.09865442586
505	0.09862352721
506	0.09860883095
507	0.0985923711
508	0.09855486214
509	0.09853977656
510	0.09851642294
511	0.09849044188
512	0.09845831966
513	0.09843086744
514	0.0984047581
515	0.09839932202
516	0.09837670756
517	0.09836501909
518	0.09834077919
519	0.09832062891
520	0.0982948138
521	0.09827322555
522	0.09824006545
523	0.0982233661
524	0.09819417721
525	0.09817495806
526	0.0981557111
527	0.09813953741
528	0.09809320603
529	0.09805498391
530	0.09802530883
531	0.09801646039
532	0.09800355015
533	0.09798612418
534	0.09796611653
535	0.09792240003
536	0.09788632633
537	0.09785699751
538	0.09783737648
539	0.09780360818
540	0.09778735017
541	0.09776571887
542	0.09773532974
543	0.09771508348
544	0.09768767432
545	0.09766324335
546	0.097636742
547	0.09760915433
548	0.09758496108
549	0.09755962051
550	0.0975367459
551	0.09753562101
552	0.09751739578
553	0.09750210479
554	0.0974839271
555	0.09746591717
556	0.0974255251
557	0.09739766294
558	0.09738052224
559	0.09736176866
560	0.09733237524
561	0.09730305718
562	0.09726563971
563	0.09726111772
564	0.09724154423
565	0.09722299697
566	0.09719752812
567	0.09718214383
568	0.0971600057
569	0.09712957799
570	0.09709779844
571	0.0970784555
572	0.09706621355
573	0.0970425352
574	0.09702133627
575	0.09700501547
576	0.09698681087
577	0.09695874867
578	0.09693701062
579	0.09689006387
580	0.09684547903
581	0.09683071549
582	0.09681000276
583	0.09678506944
584	0.09675761992
585	0.09674058418
586	0.09672857097
587	0.09670305727
588	0.09667949194
589	0.0966544151
590	0.09662845826
591	0.09660826761
592	0.09659463614
593	0.09658138233
594	0.09655938234
595	0.09652402628
596	0.09650419445
597	0.09648460572
598	0.09646359876
599	0.09643828779
600	0.09640162743
601	0.09638461949
602	0.09635171146
603	0.09632022614
604	0.09630497371
605	0.09628202555
606	0.09626117737
607	0.0962413285
608	0.09620070859
609	0.09618736866
610	0.09616394417
611	0.09613418925
612	0.09612634819
613	0.09610502099
614	0.09607589848
615	0.09603941035
616	0.09603048836
617	0.09600103484
618	0.0959890351
619	0.09597182981
620	0.09595335161
621	0.09592219013
622	0.09590305261
623	0.09588411603
624	0.09585878801
625	0.09582996601
626	0.09580902992
627	0.09577697229
628	0.09575702384
629	0.09572311202
630	0.09568298279
631	0.09564100565
632	0.09561943715
633	0.09559388667
634	0.09556267136
635	0.09552256545
636	0.0955051377
637	0.09547127162
638	0.09544116685
639	0.09542180238
640	0.0954074461
641	0.09536880238
642	0.09535691028
643	0.09533686405
644	0.09531312291
645	0.09529870114
646	0.09528456912
647	0.09526739434
648	0.09523988202
649	0.09522313422
650	0.09519352014
651	0.09517085634
652	0.09515912571
653	0.09513493783
654	0.09511771371
655	0.09509600347
656	0.09508626696
657	0.09505740908
658	0.0950287028
659	0.09501543912
660	0.09499688019
661	0.09498456648
662	0.09496438749
663	0.09494309169
664	0.09491435311
665	0.09490699826
666	0.09487722629
667	0.09487720386
668	0.09486320281
669	0.09484953187
670	0.09483183949
671	0.09478266538
672	0.09475712207
673	0.09471465425
674	0.09469575445
675	0.09466608654
676	0.09465439089
677	0.09462210272
678	0.09460046065
679	0.09459517707
680	0.09457844542
681	0.09454593747
682	0.0945362799
683	0.09453620903
684	0.09453581075
685	0.09450080453
686	0.0945007848
687	0.09450067087
688	0.09450017301
689	0.0945001479
690	0.09447445658
691	0.09445562675
692	0.09442884104
693	0.09441250947
694	0.09439218157
695	0.09436540573
696	0.09434964647
697	0.09431880613
698	0.09430816002
