iter	Logloss
0	0.4526921228
1	0.3252564944
2	0.2558702328
3	0.2151894238
4	0.1918081128
5	0.1764181803
6	0.1667797399
7	0.1608140652
8	0.1561662825
9	0.1527273876
10	0.1488975764
11	0.1469828341
12	0.1456148459
13	0.1441033945
14	0.1429616747
15	0.1417060438
16	0.1404811358
17	0.1396601314
18	0.1388981192
19	0.1378888576
20	0.1370549394
21	0.1363643417
22	0.1358985565
23	0.1355783112
24	0.1350879882
25	0.1346270534
26	0.1341064929
27	0.1336055481
28	0.1330104308
29	0.1325829368
30	0.1322037647
31	0.1316981481
32	0.1314556315
33	0.1309814733
34	0.1305461266
35	0.130243022
36	0.1299601789
37	0.1295991818
38	0.1292640249
39	0.1290051338
40	0.1286758086
41	0.1284303183
42	0.1282622788
43	0.1280388038
44	0.1278135581
45	0.1276243546
46	0.1273244381
47	0.1270711884
48	0.1268239929
49	0.1265828857
50	0.1264101708
51	0.1262698301
52	0.1261107099
53	0.1259323069
54	0.1256994219
55	0.125563092
56	0.1253164795
57	0.1251843729
58	0.125047642
59	0.1248276753
60	0.1246898016
61	0.1245391387
62	0.1243039842
63	0.1241206007
64	0.124009196
65	0.1238633879
66	0.1237443458
67	0.1236004332
68	0.1235193378
69	0.123443778
70	0.123337552
71	0.1231953769
72	0.1231228573
73	0.1230232379
74	0.122785168
75	0.1226393187
76	0.1225242639
77	0.1224276524
78	0.1222461769
79	0.1220777041
80	0.1219742562
81	0.1217961007
82	0.1216299396
83	0.1214782191
84	0.1212951281
85	0.1211976886
86	0.1210663471
87	0.1209594178
88	0.1207858848
89	0.1206916423
90	0.120553198
91	0.1203391501
92	0.1201746395
93	0.1199884205
94	0.1198446981
95	0.1195851135
96	0.119486985
97	0.1193845266
98	0.1192552034
99	0.1190747013
100	0.1189418501
101	0.118781727
102	0.1186003152
103	0.1184451277
104	0.118331484
105	0.1181845169
106	0.1180564424
107	0.1179467242
108	0.1178708397
109	0.117766423
110	0.1176889992
111	0.1175318901
112	0.117450679
113	0.1173290678
114	0.1172151325
115	0.1170803778
116	0.1169166127
117	0.1168192584
118	0.1166840435
119	0.1165624896
120	0.1164729163
121	0.1163882013
122	0.1162694409
123	0.1162105796
124	0.1161432341
125	0.1160012554
126	0.1158834423
127	0.1157503094
128	0.1156453356
129	0.1155244994
130	0.1154062126
131	0.1152785158
132	0.1151699754
133	0.1150390564
134	0.1149485663
135	0.1148434193
136	0.1147501197
137	0.1146440389
138	0.1145528276
139	0.114456791
140	0.1144107467
141	0.1143178408
142	0.1142234818
143	0.1141793347
144	0.11412492
145	0.1140482524
146	0.1139973345
147	0.1139089766
148	0.1138477929
149	0.1137397611
150	0.1136341513
151	0.1135536515
152	0.1134708706
153	0.1133595269
154	0.1132951066
155	0.1132413791
156	0.1131500745
157	0.1130487956
158	0.1129605283
159	0.1128634853
160	0.1127881319
161	0.1126887323
162	0.1126486192
163	0.1126182516
164	0.1125396545
165	0.1124881911
166	0.1123781284
167	0.1122670305
168	0.1122225722
169	0.1121218477
170	0.1120474406
171	0.1119702276
172	0.1119143374
173	0.1118341525
174	0.1117522515
175	0.1117086283
176	0.1116466148
177	0.1115874396
